	faith_pd
10317.000047146.4491	10.19535
10317.000022501.2988	15.02028
10317.000041609.3516	19.318830000000002
10317.000082798.48742	4.999749999999999
10317.000073297.50470	9.571430000000001
10317.000040508.4021	7.90508
10317.000068781.41931	18.23689
10317.000097974.54638	17.216869999999997
10317.000079154.53379	21.46015
10317.000059915.25370	19.26933
10317.000021324.2988	6.7085
10317.000053371.7852	20.078780000000002
10317.000018076.2921	16.84979
10317.000054189.26478	16.03202
10317.000060347.25370	16.84394
10317.000043132.25501	9.71231
10317.000033506.25501	16.070050000000002
10317.000033382.4016	17.816339999999997
10317.000014142.2988	20.706609999999998
10317.000046938.4033	16.7503
10317.000016381.3018	10.158610000000001
10317.000016380.3018	6.11673
10317.000014890.3020	15.266449999999997
10317.000005025.2907	9.581570000000001
10317.000050308.25862	10.228919999999999
10317.000001766.2948	11.73167
10317.000015938.42298	11.2903
10317.000058918.25862	22.85999
10317.000094666.56079	6.35931
10317.000068475.25862	11.41295
10317.000073893.50470	7.1764399999999995
10317.000063280.26480	21.097150000000003
10317.000014893.2913	13.23006
10317.000071513.41931	20.892699999999998
10317.000038028.26484	21.084660000000003
10317.000020577.2988	24.91897
10317.000023924.3018	11.415519999999997
10317.000037970.32981	21.940139999999996
10317.000007178.2907	12.470399999999998
10317.000082708.48742	3.578359999999999
10317.000029316.3022	12.162860000000002
10317.000020605.3098	17.01886
10317.000006001.2905	3.3846800000000004
10317.000033208.26531	12.555850000000001
10317.000059040.26531	8.403390000000002
10317.000030080.2982	20.75884
10317.000010246.2988	14.814639999999999
10317.000007750.2926	20.16491
10317.000074235.42299	18.342210000000005
10317.000067975.26479	17.11576
10317.000021977.3020	20.742399999999996
10317.000028959.26484	7.105550000000001
10317.000052274.7852	12.3304
10317.000015495.2926	13.071009999999998
10317.000097662.56079	14.682459999999999
10317.000016331.2919	15.468469999999998
10317.000027801.3099	11.770959999999999
10317.000058338.41931	10.383349999999998
10317.000018412.2988	16.17288
10317.000058820.25862	11.502529999999998
10317.000017619.2988	16.12177
10317.000010247.2988	21.65481
10317.000097286.56079	12.480429999999998
10317.000007234.26483	15.628179999999997
10317.000047236.26481	18.471219999999995
10317.000009432.2909	10.876119999999998
10317.000001812.2948	15.037589999999998
10317.000089224.48742	18.590410000000002
10317.000073876.50470	7.68294
10317.000029503.3099	19.3898
10317.000067507.26479	13.023939999999998
10317.000087672.48742	2.6026799999999994
10317.000030688.50470	15.75235
10317.000046404.25853	10.853250000000001
10317.000001765.2946	13.929310000000001
10317.000034247.2982	12.56375
10317.000087641.48742	17.36381
10317.000082763.48742	11.59203
10317.000037524.26481	15.781329999999999
10317.000036919.3099	15.864009999999999
10317.000094706.53379	16.99959
10317.000039953.26484	14.58056
10317.000020534.2988	19.320500000000003
10317.000069828.26480	10.311139999999998
10317.000063328.26480	3.5873799999999996
10317.000010282.2917	14.663780000000001
10317.000023440.2988	15.89242
10317.000040128.4016	13.7377
