index,sample_name,faith_pd,sample_id
0,10317.000047146.4491,10.19535,47146
1,10317.000022501.2988,15.02028,22501
2,10317.000041609.3516,19.31883,41609
3,10317.000082798.48742,4.999749999999999,82798
4,10317.000073297.50470,9.57143,73297
5,10317.000040508.4021,7.90508,40508
6,10317.000068781.41931,18.23689,68781
7,10317.000097974.54638,17.216869999999997,97974
8,10317.000079154.53379,21.46015,79154
9,10317.000059915.25370,19.26933,59915
10,10317.000021324.2988,6.7085,21324
11,10317.000053371.7852,20.07878,53371
12,10317.000018076.2921,16.84979,18076
13,10317.000054189.26478,16.032020000000003,54189
14,10317.000060347.25370,16.84394,60347
15,10317.000043132.25501,9.71231,43132
16,10317.000033506.25501,16.070050000000002,33506
17,10317.000033382.4016,17.816339999999997,33382
18,10317.000014142.2988,20.70661,14142
19,10317.000046938.4033,16.7503,46938
20,10317.000016381.3018,10.15861,16381
21,10317.000016380.3018,6.1167300000000004,16380
22,10317.000014890.3020,15.266449999999995,14890
23,10317.000005025.2907,9.58157,5025
24,10317.000050308.25862,10.22892,50308
25,10317.000001766.2948,11.73167,1766
26,10317.000015938.42298,11.2903,15938
27,10317.000058918.25862,22.85999,58918
28,10317.000094666.56079,6.35931,94666
29,10317.000068475.25862,11.41295,68475
30,10317.000073893.50470,7.17644,73893
31,10317.000063280.26480,21.097150000000006,63280
32,10317.000014893.2913,13.23006,14893
33,10317.000071513.41931,20.8927,71513
34,10317.000038028.26484,21.084660000000003,38028
35,10317.000020577.2988,24.91897,20577
36,10317.000023924.3018,11.415519999999995,23924
37,10317.000037970.32981,21.94014,37970
38,10317.000007178.2907,12.470399999999998,7178
39,10317.000082708.48742,3.5783599999999987,82708
40,10317.000029316.3022,12.162860000000002,29316
41,10317.000020605.3098,17.01886,20605
42,10317.000006001.2905,3.3846800000000004,6001
43,10317.000033208.26531,12.55585,33208
44,10317.000059040.26531,8.403390000000002,59040
45,10317.000030080.2982,20.75884,30080
46,10317.000010246.2988,14.81464,10246
47,10317.000007750.2926,20.16491,7750
48,10317.000074235.42299,18.342210000000005,74235
49,10317.000067975.26479,17.11576,67975
50,10317.000021977.3020,20.7424,21977
51,10317.000028959.26484,7.105550000000001,28959
52,10317.000052274.7852,12.3304,52274
53,10317.000015495.2926,13.071009999999998,15495
54,10317.000097662.56079,14.68246,97662
55,10317.000016331.2919,15.468469999999998,16331
56,10317.000027801.3099,11.77096,27801
57,10317.000058338.41931,10.383349999999998,58338
58,10317.000018412.2988,16.17288,18412
59,10317.000058820.25862,11.502529999999998,58820
60,10317.000017619.2988,16.12177,17619
61,10317.000010247.2988,21.65481,10247
62,10317.000097286.56079,12.480429999999998,97286
63,10317.000007234.26483,15.628179999999995,7234
64,10317.000047236.26481,18.471219999999995,47236
65,10317.000009432.2909,10.876119999999998,9432
66,10317.000001812.2948,15.037589999999998,1812
67,10317.000089224.48742,18.59041,89224
68,10317.000073876.50470,7.682939999999999,73876
69,10317.000029503.3099,19.3898,29503
70,10317.000067507.26479,13.023939999999998,67507
71,10317.000087672.48742,2.6026799999999994,87672
72,10317.000030688.50470,15.75235,30688
73,10317.000046404.25853,10.85325,46404
74,10317.000001765.2946,13.92931,1765
75,10317.000034247.2982,12.56375,34247
76,10317.000087641.48742,17.36381,87641
77,10317.000082763.48742,11.592030000000001,82763
78,10317.000037524.26481,15.78133,37524
79,10317.000036919.3099,15.86401,36919
80,10317.000094706.53379,16.999589999999998,94706
81,10317.000039953.26484,14.58056,39953
82,10317.000020534.2988,19.320500000000006,20534
83,10317.000069828.26480,10.311139999999998,69828
84,10317.000063328.26480,3.58738,63328
85,10317.000010282.2917,14.66378,10282
86,10317.000023440.2988,15.892420000000001,23440
87,10317.000040128.4016,13.7377,40128
88,10317.000050565.46739,9.14712,50565
89,10317.000073329.33800,12.1537,73329
90,10317.000046534.4033,16.639409999999998,46534
91,10317.000010171.2932,9.6691,10171
92,10317.000030344.2982,13.64454,30344
93,10317.000002534.2907,10.76299,2534
94,10317.000027325.3022,13.824229999999998,27325
95,10317.000045027.4016,12.46421,45027
96,10317.000041620.26484,15.31704,41620
97,10317.000017710.3020,13.907960000000001,17710
98,10317.000058884.26478,9.4265,58884
99,10317.000021260.2988,15.70762,21260
100,10317.000033228.4016,17.44396,33228
101,10317.000059943.33800,12.09446,59943
102,10317.000004800.2988,16.743969999999994,4800
103,10317.000043093.26484,17.96106,43093
104,10317.000038490.4021,8.44785,38490
106,10317.000014440.2917,14.4532,14440
107,10317.000101054.56187,16.00244,101054
108,10317.000071452.50470,13.09037,71452
109,10317.000022916.3018,15.6768,22916
110,10317.000016166.2923,17.26576,16166
111,10317.000046517.4033,10.178920000000002,46517
112,10317.000026497.3018,22.89204,26497
113,10317.000058780.26478,11.03781,58780
114,10317.000017272.30606,12.67527,17272
115,10317.000030989.2982,20.362590000000004,30989
116,10317.000067492.26479,12.340860000000001,67492
117,10317.000037595.3516,17.11647,37595
118,10317.000074848.50470,14.517779999999998,74848
119,10317.000073279.31503,18.68979,73279
120,10317.000089322.54638,11.511519999999996,89322
121,10317.000042006.3516,12.16459,42006
122,10317.000069847.52698,14.742820000000002,69847
123,10317.000013702.2911,15.022429999999998,13702
124,10317.000038324.7852,18.06264,38324
125,10317.000097016.62401,6.891009999999999,97016
126,10317.000067879.26479,16.69604,67879
127,10317.000005081.2960,13.822750000000005,5081
128,10317.000028228.3022,20.06614,28228
129,10317.000083162.48742,15.941989999999999,83162
130,10317.000001243.2960,23.27351,1243
131,10317.000016769.2921,16.948749999999997,16769
132,10317.000036106.3099,9.82136,36106
133,10317.000029354.2982,18.967029999999998,29354
134,10317.000020787.2988,11.886059999999995,20787
135,10317.000038332.32981,15.22495,38332
136,10317.000022977.3018,9.90008,22977
137,10317.000060270.41931,14.835960000000002,60270
138,10317.000087016.53379,13.00281,87016
139,10317.000042568.26484,16.181910000000002,42568
140,10317.000067688.26479,11.57772,67688
141,10317.000010331.32954,11.52235,10331
142,10317.000058421.25498,10.22181,58421
143,10317.000039681.25853,15.64555,39681
144,10317.000036462.26480,19.742500000000007,36462
145,10317.000071459.41931,13.413210000000001,71459
146,10317.000042015.4016,12.86028,42015
147,10317.000001645.2948,13.62564,1645
148,10317.000007039.2905,16.27447,7039
149,10317.000039840.3516,19.965970000000002,39840
150,10317.000013252.2911,12.089529999999995,13252
151,10317.000067544.26479,16.634320000000002,67544
152,10317.000040316.26484,20.483690000000006,40316
153,10317.000063308.26480,41.73755000000001,63308
154,10317.000021614.25370,7.824519999999999,21614
155,10317.000039646.25853,14.857819999999998,39646
156,10317.000043117.26484,18.08636,43117
157,10317.000054203.25370,7.881060000000001,54203
158,10317.000031857.4491,14.36875,31857
159,10317.000071532.41931,10.90025,71532
160,10317.000073789.50470,14.255169999999994,73789
161,10317.000071886.48742,10.10114,71886
162,10317.000009158.2907,21.28717,9158
163,10317.000001265.2907,7.83546,1265
164,10317.000001360.2911,11.87509,1360
165,10317.000007007.2923,12.690469999999998,7007
166,10317.000012228.2911,16.0747,12228
167,10317.000003423.2948,11.67095,3423
168,10317.000068829.26480,17.06271,68829
169,10317.000015738.32954,14.457090000000004,15738
170,10317.000041945.32981,12.93255,41945
171,10317.000012452.32954,37.77176000000001,12452
172,10317.000020406.4583,15.76114,20406
173,10317.000018408.2988,10.82076,18408
174,10317.000067594.26479,15.895489999999999,67594
175,10317.000047694.7852,19.28181,47694
176,10317.000014143.2917,14.1813,14143
177,10317.000101135.56187,8.548789999999999,101135
178,10317.000043140.25862,16.139029999999998,43140
179,10317.000098750.56079,17.872209999999995,98750
180,10317.000042010.25501,18.63746,42010
181,10317.000032823.3099,16.64987,32823
182,10317.000046470.25853,14.918369999999998,46470
183,10317.000022968.3018,18.68388,22968
184,10317.000082940.48742,16.90982,82940
185,10317.000013305.2921,9.77206,13305
186,10317.000093403.56079,11.60206,93403
187,10317.000035475.3099,11.05442,35475
188,10317.000058598.25853,9.09756,58598
189,10317.000084402.45578,18.70555,84402
190,10317.000063290.26480,8.04843,63290
191,10317.000068486.56079,21.574189999999998,68486
192,10317.000090080.51570,10.835240000000002,90080
193,10317.000032656.25370,18.86812,32656
194,10317.000041617.3516,19.54232,41617
195,10317.000068698.42298,19.53527,68698
196,10317.000068037.26479,16.392339999999994,68037
197,10317.000026619.3018,13.16815,26619
198,10317.000075904.51570,14.903230000000002,75904
199,10317.000020356.2988,9.56067,20356
200,10317.000027651.25370,16.61737,27651
201,10317.000035778.51570,10.24017,35778
202,10317.000015652.32954,15.59503,15652
203,10317.000030729.26478,7.6307399999999985,30729
204,10317.000046331.26531,16.90689,46331
205,10317.000014933.2921,9.187399999999998,14933
206,10317.000093575.53379,19.20367,93575
207,10317.000010416.26483,11.71084,10416
208,10317.000023141.26478,11.6405,23141
209,10317.000023475.3018,18.233729999999998,23475
210,10317.000020802.3022,14.65613,20802
211,10317.000067935.26479,17.6756,67935
212,10317.000028452.25370,11.648279999999998,28452
213,10317.000101081.56187,12.461469999999998,101081
214,10317.000015632.2923,20.53073,15632
215,10317.000027353.3022,22.02907,27353
216,10317.000066580.31503,18.9072,66580
217,10317.000014873.2917,8.062489999999999,14873
